Key,Id,English(en),Korean(ko)
취소,,Cancel,취소
확인,,Ok,확인
기본적인 물고기,,Basic fish,기본적인 물고기
"빠른 성장, 낮은 고점",,"Fast growth, low peaks","빠른 성장, 낮은 고점"
"느린 성장, 높은 고점",,"Slow growth, high peaks","느린 성장, 높은 고점"
랜덤하게 크는 물고기,,Random peaks,랜덤하게 크는 물고기
좀 더 빠른 성장,,a little faster growth,좀 더 빠른 성장
"느린 성장, 좀 더 높은 고점",,"Slow growth, higher peaks","느린 성장, 좀 더 높은 고점"
많이 랜덤하게 크는 물고기,,A fish that grows very randomly,많이 랜덤하게 크는 물고기
전체적으로 좋은 물고기,,Overall good fish,전체적으로 좋은 물고기
"빠르고 성장, 높은 고점",,"Fast growth, high peaks","빠르고 성장, 높은 고점"
느린 성장,,"Slow growth, highest peaks","느린 성장, 최고의 고점"
구피,,guppy,구피
2번 물고기,,2nd fish,2번 물고기
3번 물고기,,3nd fish,3번 물고기
4번 물고기,,4nd fish,4번 물고기
괜찮은 1번 물고기,,godd 1st fish,괜찮은 1번 물고기
괜찮은 2번 물고기,,good 2nd fish,괜찮은 2번 물고기
좋은 1번 물고기,,better 1st fish,좋은 1번 물고기
좋은 2번 물고기,,better 2nd fish,좋은 2번 물고기
최고 1번 물고기,,best 1st fish,최고 1번 물고기
최고 2번 물고기,,best 2nd fish,최고 2번 물고기
한국어,,한국어,한국어
강화,,enforce,강화
물고기,,fishes,물고기
게임,,game,게임
유물,,relic,유물
상점,,shop,상점
게임 시작,,start,게임 시작
스테이지,,stage,스테이지
